,img,category,img_size,2d_keypoints,mask,img_source,model,model_raw,model_source,3d_keypoints,voxel,rot_mat,trans_mat,focal_length,cam_position,inplane_rotation,truncated,occluded,slightly_occluded,bbox
0,img/bed/0001.png,bed,"[395, 244]","[[[182.5, 147.09375], [174.5, 225.09375], [16.5, 111.09375], [-1.0, -1.0], [-1.0, -1.0], [324.5, 101.09375], [336.5, 51.09375], [226.5, 20.09375], [-1.0, -1.0], [352.5, 121.09375]], [[181.5, 165.09375], [181.5, 224.09375], [3.5, 112.09375], [5.5, 141.09375], [-1.0, -1.0], [352.5, 90.09375], [349.5, 34.09375], [196.5, 26.09375], [-1.0, -1.0], [346.5, 114.09375]], [[171.5, 139.09375], [175.5, 227.09375], [29.5, 90.09375], [-1.0, -1.0], [-1.0, -1.0], [340.5, 80.09375], [351.5, 32.09375], [198.5, 22.09375], [-1.0, -1.0], [268.5, 79.09375]]]",mask/bed/0001.png,ikea,model/bed/IKEA_MALM_2/model.obj,,ikea,model/bed/IKEA_MALM_2/3d_keypoints.txt,model/bed/IKEA_MALM_2/voxel.mat,"[[0.7813941591465821, 0.00095539348511137, -0.6240370624208909], [0.17456672296585038, 0.9597407704535225, 0.2200547949085482], [0.5991240499968018, -0.2808856364297893, 0.749769052417384]]","[-0.00024347016915001151, 0.09068297313399999, 1.15264868244]",35.27039762259147,"[-0.7062195301276326, 0.2367305448542897, -0.8843274678670282]",-0.0785171651444316,False,False,False,"[4, 22, 362, 228]"
1,img/bed/0002.png,bed,"[1007, 599]","[[[309.29285714285714, 543.9148660714286], [-1.0, -1.0], [47.472857142857144, 329.5677232142857], [-1.0, -1.0], [-1.0, -1.0], [907.7385714285715, 249.0077232142857], [907.7385714285715, 87.88772321428571], [546.6571428571428, 49.04629464285714], [-1.0, -1.0], [-1.0, -1.0]], [[321.60061542, 534.9836984834286], [-1.0, -1.0], [52.58775826275715, 327.82945678942855], [-1.0, -1.0], [-1.0, -1.0], [902.783472562857, 247.26945678942855], [902.783472562857, 84.71088528892857], [548.8949011342858, 44.43088528892857], [-1.0, -1.0], [902.783472562857, 335.0223139322857]], [[313.60857142857145, 543.9148660714286], [325.1171428571428, 592.8262946428571], [50.35, 329.5677232142857], [-1.0, -1.0], [-1.0, -1.0], [903.4228571428571, 247.5691517857143], [909.1771428571428, 85.01058035714286], [-1.0, -1.0], [-1.0, -1.0], [890.4757142857143, 331.00629464285714]]]",mask/bed/0002.png,ikea,model/bed/IKEA_MALM_2/model.obj,,ikea,model/bed/IKEA_MALM_2/3d_keypoints.txt,model/bed/IKEA_MALM_2/voxel.mat,"[[0.6331473196939317, 0.08400992130502279, -0.7694587738707735], [0.25775187892541845, 0.9144734203293744, 0.3119332178872773], [0.7298550818311856, -0.39582912554967337, 0.5573426799481394]]","[0.025652375712099995, 0.0434050556712, 1.1086289071600002]",32.37890064221182,"[-0.8365679093356918, 0.3969797870961433, -0.6116872393103204]",-0.10727259477186088,True,True,False,"[46, 47, 927, 599]"
2,img/bed/0003.png,bed,"[372, 292]","[[[308.0, 202.09375], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [303.0, 260.09375], [-1.0, -1.0], [108.0, 92.09375], [329.0, 109.09375], [337.0, 38.09375], [110.0, 35.09375], [273.0, 116.09375], [-1.0, -1.0]], [[312.5, 196.09375], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [305.5, 273.09375], [-1.0, -1.0], [111.5, 125.09375], [332.5, 149.09375], [336.5, 38.09375], [107.5, 32.09375], [333.5, 185.09375], [110.5, 164.09375]], [[308.0, 195.09375], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [341.0, 38.09375], [109.0, 34.09375], [338.0, 184.09375], [-1.0, -1.0]]]",mask/bed/0003.png,ikea,model/bed/IKEA_HEMNES_1/model.obj,,ikea,model/bed/IKEA_HEMNES_1/3d_keypoints.txt,model/bed/IKEA_HEMNES_1/voxel.mat,"[[0.9337851369875168, 0.004246139989357373, -0.35780901083733935], [0.0764082738862981, 0.9745017464044287, 0.21096948105457144], [0.34958131189026814, -0.22433973466577317, 0.9096508065335673]]","[0.05160487022685999, 0.0022441725076000067, 0.8154178659799993]",39.511347857979274,"[-0.33341418148967134, 0.18052455616467913, -0.72375428378965]",-0.01907331107805484,True,False,False,"[0, 33, 344, 292]"
3,img/bed/0004.png,bed,"[1063, 755]","[[[230.06357142857144, 399.5266517857143], [93.39214285714286, 287.1523660714286], [129.83785714285713, 489.1223660714286], [286.2507142857143, 733.6123660714285], [272.5835714285715, 583.2737946428572], [-1.0, -1.0], [-1.0, -1.0], [952.9035714285715, 394.9709375], [971.1264285714286, 51.77379464285714], [634.0035714285714, 69.99665178571429], [960.4964285714286, 457.23236607142854], [-1.0, -1.0]], [[233.86, 401.04522321428567], [92.63285714285715, 285.63379464285714], [127.56, 492.1595089285714], [282.45428571428573, 738.1680803571429], [270.30571428571426, 609.0895089285714], [-1.0, -1.0], [-1.0, -1.0], [947.5885714285714, 393.45236607142857], [980.9971428571428, 56.32950892857143], [633.2442857142858, 74.55236607142857], [956.7, 460.2695089285714], [-1.0, -1.0]], [[235.3785714285714, 408.6380803571429], [98.70714285714286, 284.1152232142857], [136.67142857142855, 492.1595089285714], [291.5657142857143, 745.7609375], [261.19428571428574, 612.1266517857143], [-1.0, -1.0], [-1.0, -1.0], [964.2928571428571, 370.67379464285716], [974.9228571428572, 60.885223214285716], [637.8, 77.58950892857143], [956.7, 458.7509375], [-1.0, -1.0]]]",mask/bed/0004.png,ikea,model/bed/IKEA_HEMNES_1/model.obj,,ikea,model/bed/IKEA_HEMNES_1/3d_keypoints.txt,model/bed/IKEA_HEMNES_1/voxel.mat,"[[0.5029912563246631, 0.09073372306215703, -0.8595156703401149], [0.22321841778167886, 0.9470975684997696, 0.23060731494223674], [0.8349690617166489, -0.3078531910523324, 0.45612835774035704]]","[0.02463177822849999, 0.0738148517616, 1.09891375113]",31.871608450047034,"[-0.9464253871842163, 0.2661593054097636, -0.4970965699930859]",-0.1209687805406012,False,False,False,"[89, 74, 984, 738]"
4,img/bed/0005.png,bed,"[414, 449]","[[[-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [410.552063, 418.5520859], [51.55206299, 175.5520859], [-1.0, -1.0], [327.552063, 42.55208588], [39.55206299, 64.55208588], [34.55206299, 239.5520859], [-1.0, -1.0]], [[-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [409.0, 413.09375], [44.0, 172.09375], [-1.0, -1.0], [326.0, 44.09375], [43.0, 67.09375], [44.0, 236.09375], [-1.0, -1.0]], [[-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [408.0, 418.09375], [42.0, 174.09375], [-1.0, -1.0], [321.0, 45.09375], [40.0, 66.09375], [40.0, 238.09375], [-1.0, -1.0]]]",mask/bed/0005.png,ikea,model/bed/IKEA_MALM_2/model.obj,,ikea,model/bed/IKEA_MALM_2/3d_keypoints.txt,model/bed/IKEA_MALM_2/voxel.mat,"[[0.7883156484286317, -0.04024974826747893, 0.6139530895817289], [-0.1335898118173161, 0.9628561389262672, 0.23465254720674797], [-0.6005932072719105, -0.2669981526086006, 0.7536576052044022]]","[-0.205655543756, 0.057996630364799975, 1.63634209152]",89.13110247033816,"[1.1526451872054488, 0.3727803200217579, -1.1205878625560277]",-0.0830360381994649,True,False,True,"[38, 44, 414, 420]"
5,img/bed/0006.png,bed,"[1024, 646]","[[[942.8114285714286, 409.7371428571429], [57.78285714285714, 408.2742857142857], [78.26285714285714, 635.0171428571429], [900.3885714285715, 642.3314285714285], [919.4057142857143, 531.1542857142857], [59.245714285714286, 512.1371428571429], [261.12, 209.3257142857143], [701.44, 216.64], [695.5885714285714, 73.28], [256.7314285714286, 58.651428571428575], [-1.0, -1.0], [-1.0, -1.0]], [[942.8114285714286, 425.8285714285714], [38.76571428571429, 409.7371428571429], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [704.3657142857143, 70.35428571428571], [253.8057142857143, 58.651428571428575], [-1.0, -1.0], [-1.0, -1.0]], [[944.2742857142857, 427.2914285714286], [57.78285714285714, 417.0514285714286], [-1.0, -1.0], [-1.0, -1.0], [909.1657142857143, 554.56], [73.87428571428572, 563.3371428571429], [-1.0, -1.0], [-1.0, -1.0], [699.9771428571429, 79.13142857142857], [256.7314285714286, 60.114285714285714], [-1.0, -1.0], [-1.0, -1.0]]]",mask/bed/0006.png,ikea,model/bed/IKEA_HEMNES_1/model.obj,,ikea,model/bed/IKEA_HEMNES_1/3d_keypoints.txt,model/bed/IKEA_HEMNES_1/voxel.mat,"[[0.9971730087134361, -0.03879914803776082, 0.06434762470314938], [0.014264805698919653, 0.9385486615824298, 0.34485203371910356], [-0.07377334214853974, -0.3429592336610484, 0.9364488550021625]]","[0.023704020287299996, 0.021633266214300003, 0.964606744805]",30.010428173125,"[0.04721665985561717, 0.31143661272373063, -0.9122904549513965]",-0.039136797991520075,True,False,False,"[48, 61, 950, 646]"
6,img/bed/0007.png,bed,"[705, 390]","[[[554.9357142857143, 383.8158482142857], [-1.0, -1.0], [70.5, 294.1801339285714], [80.57142857142857, 372.7372767857143], [-1.0, -1.0], [-1.0, -1.0], [653.6357142857142, 53.47299107142857], [346.45714285714286, 36.3515625], [-1.0, -1.0], [-1.0, -1.0]], [[552.6192980014285, 386.38028511], [-1.0, -1.0], [68.18352224978572, 291.70885653857147], [78.2549508212143, 375.30171368142857], [-1.0, -1.0], [-1.0, -1.0], [646.2835837157143, 58.05171367135714], [345.1478079942857, 35.89457081421428], [-1.0, -1.0], [-1.0, -1.0]], [[551.4107142857143, 384.17463973499997], [-1.0, -1.0], [67.98214285714286, 290.51035402071426], [77.04642857142858, 375.1103540207143], [345.9535714285714, 96.1317826425], [636.0107142857142, 149.5103540207143], [646.0821428571429, 53.8317826425], [346.9607142857143, 35.703211213928576], [-1.0, -1.0], [-1.0, -1.0]]]",mask/bed/0007.png,ikea,model/bed/IKEA_MALM_2/model.obj,,ikea,model/bed/IKEA_MALM_2/3d_keypoints.txt,model/bed/IKEA_MALM_2/voxel.mat,"[[0.9049304935359144, 0.024302029863752572, -0.4248649352598396], [0.13258383254806833, 0.9325784014438706, 0.3357365820211744], [0.40437894259680757, -0.36014849229851886, 0.8406965768215019]]","[-0.07446851214289998, 0.004641992781523991, 1.1531120203099998]",35.95825621668317,"[-0.3995208452159014, 0.4127722693642438, -1.0026148745470687]",-0.004169059318545877,True,False,False,"[65, 39, 651, 390]"
7,img/bed/0008.png,bed,"[500, 375]","[[[482.5, 155.09375], [460.5, 330.09375], [424.5, 108.09375], [-1.0, -1.0], [11.5, 158.09375], [44.5, 326.09375], [91.5, 111.09375], [-1.0, -1.0], [31.5, 249.09375], [43.5, 319.09375], [465.5, 235.09375], [455.5, 319.09375]], [[494.0, 152.09375], [464.0, 326.09375], [427.0, 107.09375], [-1.0, -1.0], [13.0, 156.09375], [42.0, 326.09375], [86.0, 110.09375], [-1.0, -1.0], [-1.0, -1.0], [47.0, 326.09375], [-1.0, -1.0], [460.0, 330.09375]], [[488.0, 157.09375], [468.0, 326.09375], [428.0, 110.09375], [-1.0, -1.0], [17.0, 154.09375], [42.0, 321.09375], [90.0, 107.09375], [-1.0, -1.0], [50.0, 266.09375], [61.0, 322.09375], [453.0, 270.09375], [451.0, 322.09375]]]",mask/bed/0008.png,ikea,model/bed/IKEA_HEMNES_3/model.obj,,ikea,model/bed/IKEA_HEMNES_3/3d_keypoints.txt,model/bed/IKEA_HEMNES_3/voxel.mat,"[[0.9997835146211264, 0.003855158988048682, -0.02044655572474341], [0.0022987174823443446, 0.9562040803621539, 0.2926917706337232], [0.020679453323638283, -0.2926754079999625, 0.955988214238173]]","[-0.0038124794630999925, -0.040554782119500005, 1.1707099158210001]",35.072296179026495,"[-0.02030476295605114, 0.3814313481178459, -1.1073927829042103]",0.03476286695326794,False,False,False,"[7, 117, 498, 324]"
8,img/bed/0009.png,bed,"[323, 228]","[[[299.159668, 107.4409485], [30.15966797, 108.4409485], [25.15966797, 192.4409485], [293.159668, 192.4409485], [295.159668, 138.4409485], [23.15966797, 147.4409485], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0]], [[300.0, 108.09375], [27.0, 111.09375], [27.0, 192.09375], [291.0, 194.09375], [290.0, 166.09375], [31.0, 164.09375], [-1.0, -1.0], [-1.0, -1.0], [264.0, 25.09375], [79.0, 26.09375], [-1.0, -1.0], [-1.0, -1.0]], [[-1.0, -1.0], [-1.0, -1.0], [29.0, 196.09375], [293.0, 193.09375], [297.0, 108.09375], [32.0, 112.09375], [-1.0, -1.0], [-1.0, -1.0], [263.0, 27.09375], [79.0, 27.09375], [-1.0, -1.0], [-1.0, -1.0]]]",mask/bed/0009.png,ikea,model/bed/IKEA_HEMNES_1/model.obj,,ikea,model/bed/IKEA_HEMNES_1/3d_keypoints.txt,model/bed/IKEA_HEMNES_1/voxel.mat,"[[0.9996318470275598, 0.007737365542048002, -0.02600583747426678], [-0.0030338383201707177, 0.9843410613043908, 0.17624832156702308], [0.026962311349665737, -0.176104537717273, 0.9840021471328553]]","[-0.012982769297000003, 0.03108648370450001, 1.87698161318]",70.96463356274923,"[-0.03753546163476214, 0.300045729362775, -1.852770505862653]",-0.017828202543716316,True,False,True,"[28, 20, 299, 217]"
9,img/bed/0010.png,bed,"[1024, 768]","[[[849.92, 516.5257142857142], [857.2342857142858, 627.7028571428572], [108.25142857142858, 487.2685714285714], [118.49142857142857, 602.8342857142857], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0], [-1.0, -1.0]], [[-1.0, -1.0], [868.2869642971427, 614.8825028022857], [-1.0, -1.0], [117.84124999679999, 601.7167885165713], [309.4755357257143, 241.8539508297143], [735.1669642971428, 236.00252225828572], [752.7212500114285, 120.43680803108572], [308.0126785828571, 124.82537945965714], [-1.0, -1.0], [-1.0, -1.0]], [[872.9828571428571, 479.41714285714284], [856.8914285714286, 619.8514285714285], [109.37142857142857, 480.88], [124.0, 603.76], [350.74285714285713, 220.49142857142857], [734.0114285714286, 226.34285714285716], [734.0114285714286, 125.40571428571428], [341.9657142857143, 123.94285714285714], [-1.0, -1.0], [-1.0, -1.0]]]",mask/bed/0010.png,ikea,model/bed/IKEA_MALM_3/model.obj,,ikea,model/bed/IKEA_MALM_3/3d_keypoints.txt,model/bed/IKEA_MALM_3/voxel.mat,"[[0.997945589067629, 0.022532701902220845, -0.059973982737923155], [0.004451167361908284, 0.9094640646879608, 0.41575870664409287], [0.06391234911642142, -0.4151715216464615, 0.9074953549435845]]","[0.004622426100619989, 0.0912091237639, 1.08050807298]",30.56477376775,"[-0.07407672599612045, 0.3655406046260584, -1.0181998192354478]",-0.08807398977476522,False,False,True,"[91, 117, 887, 617]"
